codigo_unico,asunto,descripcion,tipo_tramite,prioridad_real
YAU-HIST-101139,Trámite de Constancia de Posesión - Nuestro,Solicitud de licencia de edificación para ampliación de vivienda residencial en Alameda de Fortunata Quirós 12 Piso 6 .,Constancia de Posesión,Media
YAU-HIST-101140,Urgente: Solicitud de Licencia de Edificación por riesgo,Solicitud de inspección extraordinaria de seguridad en Via Casemiro Pareja 450 Piso 2  debido a grietas graves y amenaza de derrumbe.,Licencia de Edificación,Alta
YAU-HIST-101141,Urgente: Solicitud de Licencia de Edificación por riesgo,Solicitud de inspección extraordinaria de seguridad en Glorieta Edelmira Alba 93 debido a grietas graves y amenaza de derrumbe.,Licencia de Edificación,Alta
YAU-HIST-101142,Urgente: Solicitud de Licencia de Edificación por riesgo,Reporto peligro de colapso en Urbanización Julio César Blázquez 890 debido a grietas profundas en los muros de carga. Solicito inspección de inmediato.,Licencia de Edificación,Alta
YAU-HIST-101143,Trámite de Licencia de Funcionamiento - Cierta,Presento la solicitud de regularización de mi constancia de posesión del predio ubicado en Alameda Ciro Mendizábal 6.,Licencia de Funcionamiento,Media
YAU-HIST-101144,Trámite de Licencia de Funcionamiento - Buena,Trámite regular para obtener la constancia de posesión del terreno denominado Pasadizo de Guiomar Miranda 35 Puerta 1 .,Licencia de Funcionamiento,Media
YAU-HIST-101145,Trámite de Licencia de Funcionamiento - Recuerdo,Trámite regular para obtener la constancia de posesión del terreno denominado Pasadizo Noemí Conesa 7 Piso 9 .,Licencia de Funcionamiento,Media
YAU-HIST-101146,Consulta / Copia: Inspección Técnica de Seguridad (ITSE),Solicito información general sobre los planos catastrales de la zona de Rambla de Evaristo Sierra 2.,Inspección Técnica de Seguridad (ITSE),Baja
YAU-HIST-101147,Consulta / Copia: Constancia de Posesión,Pedido de copias de actas de la junta vecinal de Vial María José Cuevas 989 correspondientes al periodo anterior.,Constancia de Posesión,Baja
YAU-HIST-101148,EMERGENCIA: Licencia de Funcionamiento por cables eléctricos expuestos a la intemperie,Se presenta una situación de emergencia por cables eléctricos expuestos a la intemperie en Vial de Norberto Manso 79 Apt. 63 . Existe un riesgo estructural inminente.,Licencia de Funcionamiento,Urgente
YAU-HIST-101149,Trámite de Queja por Servicios - Algunos,Queja por servicios debido a fallas intermitentes en el alumbrado público de Vial Claudia Valencia 1.,Queja por Servicios,Media
YAU-HIST-101150,Trámite de Inspección Técnica de Seguridad (ITSE) - Principal,Presento la solicitud de regularización de mi constancia de posesión del predio ubicado en Cuesta Ciríaco Sanz 52 Apt. 14 .,Inspección Técnica de Seguridad (ITSE),Media
YAU-HIST-101151,Trámite de Licencia de Edificación - Iglesia,Trámite regular para obtener la constancia de posesión del terreno denominado Avenida de Calisto Escamilla 84 Piso 7 .,Licencia de Edificación,Media
YAU-HIST-101152,Urgente: Solicitud de Licencia de Funcionamiento por riesgo,Se solicita apoyo de inmediato por filtraciones severas de agua en las columnas que amenaza la seguridad pública en Camino Amarilis Ariño 74.,Licencia de Funcionamiento,Alta
YAU-HIST-101153,Urgente: Solicitud de Constancia de Posesión por riesgo,Denuncia de riesgo estructural crítico en Pasaje Quique Vila 255 Puerta 6  por debilitamiento de vigas por humedad extrema. Se teme daño físico a las personas.,Constancia de Posesión,Alta
YAU-HIST-101154,Trámite de Licencia de Edificación - Buen,Solicito la renovación de mi licencia de funcionamiento para el establecimiento comercial ubicado en Calle de Estela Barberá 18 Apt. 14 .,Licencia de Edificación,Media
YAU-HIST-101155,Trámite de Constancia de Posesión - Estaban,Solicito la renovación de mi licencia de funcionamiento para el establecimiento comercial ubicado en Avenida de Jacinto Pont 61.,Constancia de Posesión,Media
YAU-HIST-101156,EMERGENCIA: Inspección Técnica de Seguridad (ITSE) por cables eléctricos expuestos a la intemperie,Se presenta una situación de emergencia por cables eléctricos expuestos a la intemperie en Via de Che Escribano 7 Piso 3 . Existe un riesgo estructural inminente.,Inspección Técnica de Seguridad (ITSE),Urgente
YAU-HIST-101157,Trámite de Licencia de Edificación - Son,Requiero una inspección técnica de seguridad (ITSE) de rutina para el local comercial en Avenida de Maximiliano Noriega 873 Apt. 47 .,Licencia de Edificación,Media
YAU-HIST-101158,Consulta / Copia: Constancia de Posesión,Solicito duplicado del certificado de habitabilidad de la propiedad en Vial de Felicidad García 19.,Constancia de Posesión,Baja
YAU-HIST-101159,Urgente: Solicitud de Inspección Técnica de Seguridad (ITSE) por riesgo,Denuncia de riesgo estructural crítico en Acceso Montserrat Ropero 13 Apt. 06  por cables eléctricos expuestos a la intemperie. Se teme daño físico a las personas.,Inspección Técnica de Seguridad (ITSE),Alta
YAU-HIST-101160,Trámite de Licencia de Edificación - Largo,Solicitud de licencia de edificación para ampliación de vivienda residencial en Rambla de Celso Cifuentes 5 Piso 1 .,Licencia de Edificación,Media
YAU-HIST-101161,Urgente: Solicitud de Inspección Técnica de Seguridad (ITSE) por riesgo,Se presenta una situación de emergencia por debilitamiento de vigas por humedad extrema en Pasadizo de Iker Jover 20 Piso 5 . Existe un riesgo estructural inminente.,Inspección Técnica de Seguridad (ITSE),Alta
YAU-HIST-101162,Consulta / Copia: Licencia de Funcionamiento,Solicito información general sobre los planos catastrales de la zona de Glorieta Paco Rius 97 Puerta 2 .,Licencia de Funcionamiento,Baja
YAU-HIST-101163,Consulta / Copia: Licencia de Edificación,Solicito información general sobre los planos catastrales de la zona de Camino de Roque Agustín 293 Puerta 9 .,Licencia de Edificación,Baja
YAU-HIST-101164,Consulta / Copia: Licencia de Funcionamiento,Pedido de copias de actas de la junta vecinal de Alameda de Alberto Contreras 82 correspondientes al periodo anterior.,Licencia de Funcionamiento,Baja
YAU-HIST-101165,Consulta / Copia: Queja por Servicios,Solicito duplicado del certificado de habitabilidad de la propiedad en Ronda Juan José Viñas 8 Apt. 79 .,Queja por Servicios,Baja
YAU-HIST-101166,EMERGENCIA: Queja por Servicios por filtraciones severas de agua en las columnas,Reporto peligro de colapso en Glorieta Marcia Expósito 38 debido a filtraciones severas de agua en las columnas. Solicito inspección de inmediato.,Queja por Servicios,Urgente
YAU-HIST-101167,Trámite de Inspección Técnica de Seguridad (ITSE) - Hijos,Trámite regular para obtener la constancia de posesión del terreno denominado Acceso Hugo Feijoo 605 Apt. 44 .,Inspección Técnica de Seguridad (ITSE),Media
YAU-HIST-101168,Trámite de Inspección Técnica de Seguridad (ITSE) - Anterior,Solicito la renovación de mi licencia de funcionamiento para el establecimiento comercial ubicado en Pasaje de Severiano Reguera 95.,Inspección Técnica de Seguridad (ITSE),Media
YAU-HIST-101169,Consulta / Copia: Licencia de Funcionamiento,Solicitud de copia certificada de la resolución de alcaldía emitida el año pasado sobre el predio Rambla Álvaro Romero 92 Puerta 2 .,Licencia de Funcionamiento,Baja
YAU-HIST-101170,Trámite de Licencia de Edificación - Iglesia,Presento la solicitud de regularización de mi constancia de posesión del predio ubicado en Cañada de Ramona Ruiz 29 Apt. 11 .,Licencia de Edificación,Media
YAU-HIST-101171,Trámite de Inspección Técnica de Seguridad (ITSE) - Tiempos,Solicitud de licencia de edificación para ampliación de vivienda residencial en Via de Anabel Cabo 18.,Inspección Técnica de Seguridad (ITSE),Media
YAU-HIST-101172,Urgente: Solicitud de Constancia de Posesión por riesgo,Se solicita apoyo de inmediato por filtraciones severas de agua en las columnas que amenaza la seguridad pública en Glorieta de Jacinto Sanz 461 Piso 1 .,Constancia de Posesión,Alta
YAU-HIST-101173,Consulta / Copia: Inspección Técnica de Seguridad (ITSE),Realizo una consulta simple para solicitar información sobre los requisitos del trámite de inspección técnica de seguridad (itse).,Inspección Técnica de Seguridad (ITSE),Baja
YAU-HIST-101174,Trámite de Queja por Servicios - Pasado,Solicitud de licencia de edificación para ampliación de vivienda residencial en Cañada de Pili Ribera 70 Apt. 00 .,Queja por Servicios,Media
YAU-HIST-101175,Consulta / Copia: Inspección Técnica de Seguridad (ITSE),Pedido de copias de actas de la junta vecinal de Alameda de Francisco Ropero 78 Apt. 96  correspondientes al periodo anterior.,Inspección Técnica de Seguridad (ITSE),Baja
YAU-HIST-101176,Trámite de Queja por Servicios - Popular,Presento la solicitud de regularización de mi constancia de posesión del predio ubicado en Vial de Fanny Portero 66.,Queja por Servicios,Media
YAU-HIST-101177,EMERGENCIA: Licencia de Funcionamiento por filtraciones severas de agua en las columnas,Se solicita apoyo de inmediato por filtraciones severas de agua en las columnas que amenaza la seguridad pública en Urbanización de Conrado Cases 719.,Licencia de Funcionamiento,Urgente
YAU-HIST-101178,EMERGENCIA: Licencia de Edificación por cables eléctricos expuestos a la intemperie,Denuncia de riesgo estructural crítico en Alameda Herminio Buendía 1 Piso 0  por cables eléctricos expuestos a la intemperie. Se teme daño físico a las personas.,Licencia de Edificación,Urgente
YAU-HIST-101179,Trámite de Constancia de Posesión - Bueno,Presento la solicitud de regularización de mi constancia de posesión del predio ubicado en Paseo Zoraida Bermúdez 360.,Constancia de Posesión,Media
YAU-HIST-101180,Trámite de Constancia de Posesión - Poner,Requiero una inspección técnica de seguridad (ITSE) de rutina para el local comercial en Urbanización Fortunata Girona 93 Apt. 64 .,Constancia de Posesión,Media
YAU-HIST-101181,EMERGENCIA: Constancia de Posesión por debilitamiento de vigas por humedad extrema,Se solicita apoyo de inmediato por debilitamiento de vigas por humedad extrema que amenaza la seguridad pública en Avenida de Ernesto Alvarado 811.,Constancia de Posesión,Urgente
YAU-HIST-101182,Trámite de Licencia de Edificación - Sociales,Solicitud de licencia de edificación para ampliación de vivienda residencial en Vial Lorenzo Juárez 21.,Licencia de Edificación,Media
YAU-HIST-101183,Consulta / Copia: Licencia de Funcionamiento,Consulta sobre el estado actual de mi trámite administrativo Nro. EXP-1753 presentado anteriormente.,Licencia de Funcionamiento,Baja
YAU-HIST-101184,Urgente: Solicitud de Licencia de Funcionamiento por riesgo,Fuga de agua masiva y riesgo de corto circuito en C. de Tania Mir 32. Requiero intervención urgente por peligro inminente.,Licencia de Funcionamiento,Alta
YAU-HIST-101185,Consulta / Copia: Constancia de Posesión,Solicito información general sobre los planos catastrales de la zona de Rambla Georgina Angulo 6 Piso 7 .,Constancia de Posesión,Baja
YAU-HIST-101186,Trámite de Inspección Técnica de Seguridad (ITSE) - Posición,Trámite regular para obtener la constancia de posesión del terreno denominado Pasadizo Manuela Iñiguez 4.,Inspección Técnica de Seguridad (ITSE),Media
YAU-HIST-101187,EMERGENCIA: Constancia de Posesión por debilitamiento de vigas por humedad extrema,Se solicita apoyo de inmediato por debilitamiento de vigas por humedad extrema que amenaza la seguridad pública en Pasadizo Ariel Corominas 25.,Constancia de Posesión,Urgente
YAU-HIST-101188,Trámite de Licencia de Edificación - Hora,Trámite regular para obtener la constancia de posesión del terreno denominado Alameda Emiliano Gimeno 3.,Licencia de Edificación,Media
YAU-HIST-101189,EMERGENCIA: Queja por Servicios por hundimiento del suelo en el patio principal,Denuncia de riesgo estructural crítico en Glorieta de Cirino Olivé 847 Piso 8  por hundimiento del suelo en el patio principal. Se teme daño físico a las personas.,Queja por Servicios,Urgente
YAU-HIST-101190,EMERGENCIA: Licencia de Funcionamiento por hundimiento del suelo en el patio principal,Reporto peligro de colapso en Callejón Fulgencio Figuerola 26 Puerta 9  debido a hundimiento del suelo en el patio principal. Solicito inspección de inmediato.,Licencia de Funcionamiento,Urgente
YAU-HIST-101191,Consulta / Copia: Queja por Servicios,Realizo una consulta simple para solicitar información sobre los requisitos del trámite de queja por servicios.,Queja por Servicios,Baja
YAU-HIST-101192,Urgente: Solicitud de Queja por Servicios por riesgo,Fuga de agua masiva y riesgo de corto circuito en C. Timoteo Folch 255 Piso 2 . Requiero intervención urgente por peligro inminente.,Queja por Servicios,Alta
YAU-HIST-101193,Trámite de Licencia de Funcionamiento - Sin,Queja por servicios debido a fallas intermitentes en el alumbrado público de Camino de Sebastián Marin 785.,Licencia de Funcionamiento,Media
YAU-HIST-101194,Trámite de Queja por Servicios - Nadie,Presento la solicitud de regularización de mi constancia de posesión del predio ubicado en Alameda Timoteo Estevez 23.,Queja por Servicios,Media
YAU-HIST-101195,Trámite de Licencia de Funcionamiento - Campaña,Queja por servicios debido a fallas intermitentes en el alumbrado público de Vial de Melisa Miralles 1 Piso 0 .,Licencia de Funcionamiento,Media
YAU-HIST-101196,EMERGENCIA: Queja por Servicios por cables eléctricos expuestos a la intemperie,Solicitud de inspección extraordinaria de seguridad en Pasaje Clementina Montoya 28 Piso 4  debido a grietas graves y amenaza de derrumbe.,Queja por Servicios,Urgente
YAU-HIST-101197,EMERGENCIA: Inspección Técnica de Seguridad (ITSE) por debilitamiento de vigas por humedad extrema,Solicitud de inspección extraordinaria de seguridad en Via Chelo Lobo 719 debido a grietas graves y amenaza de derrumbe.,Inspección Técnica de Seguridad (ITSE),Urgente
YAU-HIST-101198,EMERGENCIA: Licencia de Funcionamiento por filtraciones severas de agua en las columnas,Solicitud de inspección extraordinaria de seguridad en Alameda de Hector Figueras 8 Piso 0  debido a grietas graves y amenaza de derrumbe.,Licencia de Funcionamiento,Urgente
YAU-HIST-101199,Trámite de Constancia de Posesión - Sociedad,Solicito la renovación de mi licencia de funcionamiento para el establecimiento comercial ubicado en Via de Edelmiro Santamaría 69 Puerta 6 .,Constancia de Posesión,Media
YAU-HIST-101200,Consulta / Copia: Constancia de Posesión,Pedido de copias de actas de la junta vecinal de Plaza de Fidela Acuña 34 correspondientes al periodo anterior.,Constancia de Posesión,Baja
YAU-HIST-101201,Trámite de Constancia de Posesión - Ese,Trámite regular para obtener la constancia de posesión del terreno denominado Paseo Zaida Álamo 6 Puerta 0 .,Constancia de Posesión,Media
YAU-HIST-101202,Consulta / Copia: Queja por Servicios,Solicito duplicado del certificado de habitabilidad de la propiedad en Ronda Loreto Mascaró 65 Piso 1 .,Queja por Servicios,Baja
YAU-HIST-101203,Consulta / Copia: Licencia de Edificación,Solicito duplicado del certificado de habitabilidad de la propiedad en Calle de Rubén Martín 27 Piso 9 .,Licencia de Edificación,Baja
YAU-HIST-101204,Trámite de Inspección Técnica de Seguridad (ITSE) - Juicio,Solicito la renovación de mi licencia de funcionamiento para el establecimiento comercial ubicado en Urbanización Asdrubal Alarcón 61.,Inspección Técnica de Seguridad (ITSE),Media
YAU-HIST-101205,Consulta / Copia: Licencia de Funcionamiento,Realizo una consulta simple para solicitar información sobre los requisitos del trámite de licencia de funcionamiento.,Licencia de Funcionamiento,Baja
YAU-HIST-101206,Trámite de Inspección Técnica de Seguridad (ITSE) - Local,Trámite regular para obtener la constancia de posesión del terreno denominado Via Atilio Mayo 5 Piso 9 .,Inspección Técnica de Seguridad (ITSE),Media
YAU-HIST-101207,Trámite de Inspección Técnica de Seguridad (ITSE) - Psoe,Requiero una inspección técnica de seguridad (ITSE) de rutina para el local comercial en Rambla de Ángela Cervera 371 Piso 2 .,Inspección Técnica de Seguridad (ITSE),Media
YAU-HIST-101208,EMERGENCIA: Licencia de Funcionamiento por cables eléctricos expuestos a la intemperie,Reporto peligro de colapso en Via de Azahara Álamo 89 Puerta 7  debido a cables eléctricos expuestos a la intemperie. Solicito inspección de inmediato.,Licencia de Funcionamiento,Urgente
YAU-HIST-101209,Consulta / Copia: Licencia de Edificación,Pedido de copias de actas de la junta vecinal de Cuesta de Jaime Briones 24 Piso 8  correspondientes al periodo anterior.,Licencia de Edificación,Baja
YAU-HIST-101210,Urgente: Solicitud de Licencia de Funcionamiento por riesgo,Reporto peligro de colapso en Avenida Carlito Urrutia 4 debido a grietas profundas en los muros de carga. Solicito inspección de inmediato.,Licencia de Funcionamiento,Alta
YAU-HIST-101211,Consulta / Copia: Licencia de Funcionamiento,Consulta sobre el estado actual de mi trámite administrativo Nro. EXP-4532 presentado anteriormente.,Licencia de Funcionamiento,Baja
YAU-HIST-101212,Consulta / Copia: Queja por Servicios,Realizo una consulta simple para solicitar información sobre los requisitos del trámite de queja por servicios.,Queja por Servicios,Baja
YAU-HIST-101213,Consulta / Copia: Licencia de Funcionamiento,Solicitud de copia certificada de la resolución de alcaldía emitida el año pasado sobre el predio Urbanización Yésica Parra 97.,Licencia de Funcionamiento,Baja
YAU-HIST-101214,Trámite de Queja por Servicios - Hicieron,Queja por servicios debido a fallas intermitentes en el alumbrado público de Glorieta de Bruno Lobo 52.,Queja por Servicios,Media
YAU-HIST-101215,EMERGENCIA: Constancia de Posesión por filtraciones severas de agua en las columnas,Solicitud de inspección extraordinaria de seguridad en Pasaje Sarita Campo 4 debido a grietas graves y amenaza de derrumbe.,Constancia de Posesión,Urgente
YAU-HIST-101216,Trámite de Constancia de Posesión - Creo,Queja por servicios debido a fallas intermitentes en el alumbrado público de Rambla de Juanito Andrade 88.,Constancia de Posesión,Media
YAU-HIST-101217,Consulta / Copia: Queja por Servicios,Consulta sobre el estado actual de mi trámite administrativo Nro. EXP-9328 presentado anteriormente.,Queja por Servicios,Baja
YAU-HIST-101218,Trámite de Licencia de Edificación - Dejó,Presento la solicitud de regularización de mi constancia de posesión del predio ubicado en Calle de Valero Llamas 11 Puerta 6 .,Licencia de Edificación,Media
YAU-HIST-101219,EMERGENCIA: Licencia de Edificación por hundimiento del suelo en el patio principal,Se solicita apoyo de inmediato por hundimiento del suelo en el patio principal que amenaza la seguridad pública en Cañada Gonzalo Quevedo 59 Puerta 9 .,Licencia de Edificación,Urgente
YAU-HIST-101220,Consulta / Copia: Constancia de Posesión,Solicito información general sobre los planos catastrales de la zona de Via de Isa Ayllón 41 Apt. 00 .,Constancia de Posesión,Baja
YAU-HIST-101221,Consulta / Copia: Queja por Servicios,Pedido de copias de actas de la junta vecinal de Avenida Bernardita Cabrero 73 Piso 6  correspondientes al periodo anterior.,Queja por Servicios,Baja
YAU-HIST-101222,Trámite de Inspección Técnica de Seguridad (ITSE) - Resulta,Requiero una inspección técnica de seguridad (ITSE) de rutina para el local comercial en Callejón Ana Sofía Fuster 63.,Inspección Técnica de Seguridad (ITSE),Media
YAU-HIST-101223,Trámite de Inspección Técnica de Seguridad (ITSE) - Pueden,Presento la solicitud de regularización de mi constancia de posesión del predio ubicado en Plaza de Ciríaco Esteve 597 Puerta 3 .,Inspección Técnica de Seguridad (ITSE),Media
YAU-HIST-101224,Trámite de Licencia de Edificación - Media,Trámite regular para obtener la constancia de posesión del terreno denominado Rambla Glauco Márquez 12 Puerta 7 .,Licencia de Edificación,Media
YAU-HIST-101225,Urgente: Solicitud de Constancia de Posesión por riesgo,Se solicita apoyo de inmediato por hundimiento del suelo en el patio principal que amenaza la seguridad pública en Rambla Juan Luis Benítez 60 Piso 9 .,Constancia de Posesión,Alta
YAU-HIST-101226,Trámite de Inspección Técnica de Seguridad (ITSE) - Salir,Queja por servicios debido a fallas intermitentes en el alumbrado público de Urbanización de Agustina Canals 1.,Inspección Técnica de Seguridad (ITSE),Media
YAU-HIST-101227,Urgente: Solicitud de Licencia de Edificación por riesgo,Denuncia de riesgo estructural crítico en Pasadizo Anita Diego 21 Piso 5  por debilitamiento de vigas por humedad extrema. Se teme daño físico a las personas.,Licencia de Edificación,Alta
YAU-HIST-101228,Trámite de Inspección Técnica de Seguridad (ITSE) - Sueño,Trámite regular para obtener la constancia de posesión del terreno denominado Acceso de Caridad Jiménez 64 Piso 0 .,Inspección Técnica de Seguridad (ITSE),Media
YAU-HIST-101229,Consulta / Copia: Licencia de Edificación,Pedido de copias de actas de la junta vecinal de Alameda de Tatiana Villaverde 571 Puerta 8  correspondientes al periodo anterior.,Licencia de Edificación,Baja
YAU-HIST-101230,Trámite de Constancia de Posesión - Sobre,Trámite regular para obtener la constancia de posesión del terreno denominado Ronda Roberta Giménez 85.,Constancia de Posesión,Media
YAU-HIST-101231,Trámite de Inspección Técnica de Seguridad (ITSE) - Destino,Requiero una inspección técnica de seguridad (ITSE) de rutina para el local comercial en Acceso de Hilario Borrell 26.,Inspección Técnica de Seguridad (ITSE),Media
YAU-HIST-101232,Trámite de Constancia de Posesión - Generales,Queja por servicios debido a fallas intermitentes en el alumbrado público de Pasadizo de Gabino Lara 75 Puerta 6 .,Constancia de Posesión,Media
YAU-HIST-101233,Trámite de Queja por Servicios - Salir,Queja por servicios debido a fallas intermitentes en el alumbrado público de Glorieta de Ariel Viña 29 Piso 7 .,Queja por Servicios,Media
YAU-HIST-101234,Consulta / Copia: Inspección Técnica de Seguridad (ITSE),Consulta sobre el estado actual de mi trámite administrativo Nro. EXP-1209 presentado anteriormente.,Inspección Técnica de Seguridad (ITSE),Baja
YAU-HIST-101235,EMERGENCIA: Constancia de Posesión por grietas profundas en los muros de carga,Solicitud de inspección extraordinaria de seguridad en Cuesta de Luis Barón 80 debido a grietas graves y amenaza de derrumbe.,Constancia de Posesión,Urgente
YAU-HIST-101236,Trámite de Licencia de Funcionamiento - Seguridad,Presento la solicitud de regularización de mi constancia de posesión del predio ubicado en Cañada Paola Casal 8.,Licencia de Funcionamiento,Media
YAU-HIST-101237,Consulta / Copia: Inspección Técnica de Seguridad (ITSE),Realizo una consulta simple para solicitar información sobre los requisitos del trámite de inspección técnica de seguridad (itse).,Inspección Técnica de Seguridad (ITSE),Baja
YAU-HIST-101238,EMERGENCIA: Inspección Técnica de Seguridad (ITSE) por debilitamiento de vigas por humedad extrema,Se presenta una situación de emergencia por debilitamiento de vigas por humedad extrema en Cañada de Mireia Vallés 521. Existe un riesgo estructural inminente.,Inspección Técnica de Seguridad (ITSE),Urgente
YAU-HIST-101239,Urgente: Solicitud de Inspección Técnica de Seguridad (ITSE) por riesgo,Denuncia de riesgo estructural crítico en Ronda Delfina Berrocal 13 por filtraciones severas de agua en las columnas. Se teme daño físico a las personas.,Inspección Técnica de Seguridad (ITSE),Alta
YAU-HIST-101240,Consulta / Copia: Inspección Técnica de Seguridad (ITSE),Solicitud de copia certificada de la resolución de alcaldía emitida el año pasado sobre el predio Urbanización de Octavia Pomares 26 Piso 4 .,Inspección Técnica de Seguridad (ITSE),Baja
YAU-HIST-101241,Trámite de Constancia de Posesión - Noche,Queja por servicios debido a fallas intermitentes en el alumbrado público de Camino Tristán Mora 523 Apt. 68 .,Constancia de Posesión,Media
YAU-HIST-101242,Trámite de Inspección Técnica de Seguridad (ITSE) - Grupos,Solicito la renovación de mi licencia de funcionamiento para el establecimiento comercial ubicado en Avenida de Manuel Serra 726 Apt. 28 .,Inspección Técnica de Seguridad (ITSE),Media
YAU-HIST-101243,Trámite de Queja por Servicios - Etapa,Trámite regular para obtener la constancia de posesión del terreno denominado Pasaje de Paulino Roma 76 Piso 0 .,Queja por Servicios,Media
YAU-HIST-101244,Consulta / Copia: Inspección Técnica de Seguridad (ITSE),Solicitud de copia certificada de la resolución de alcaldía emitida el año pasado sobre el predio Avenida de Marisol Checa 943.,Inspección Técnica de Seguridad (ITSE),Baja
YAU-HIST-101245,Urgente: Solicitud de Inspección Técnica de Seguridad (ITSE) por riesgo,Solicitud de inspección extraordinaria de seguridad en Paseo Trinidad Marcos 7 Apt. 60  debido a grietas graves y amenaza de derrumbe.,Inspección Técnica de Seguridad (ITSE),Alta
YAU-HIST-101246,Consulta / Copia: Inspección Técnica de Seguridad (ITSE),Solicito información general sobre los planos catastrales de la zona de Calle de Cesar Ballesteros 61 Puerta 1 .,Inspección Técnica de Seguridad (ITSE),Baja
YAU-HIST-101247,Urgente: Solicitud de Licencia de Edificación por riesgo,Reporto peligro de colapso en Alameda de Rosaura Barrera 9 Puerta 0  debido a debilitamiento de vigas por humedad extrema. Solicito inspección de inmediato.,Licencia de Edificación,Alta
YAU-HIST-101248,Urgente: Solicitud de Licencia de Funcionamiento por riesgo,Reporto peligro de colapso en Paseo Manu Valbuena 33 debido a debilitamiento de vigas por humedad extrema. Solicito inspección de inmediato.,Licencia de Funcionamiento,Alta
YAU-HIST-101249,EMERGENCIA: Constancia de Posesión por cables eléctricos expuestos a la intemperie,Se presenta una situación de emergencia por cables eléctricos expuestos a la intemperie en Plaza de Noa Toro 231 Apt. 29 . Existe un riesgo estructural inminente.,Constancia de Posesión,Urgente
YAU-HIST-101250,Trámite de Inspección Técnica de Seguridad (ITSE) - Ninguna,Presento la solicitud de regularización de mi constancia de posesión del predio ubicado en Urbanización Hernando Calleja 90.,Inspección Técnica de Seguridad (ITSE),Media
YAU-HIST-101251,Trámite de Licencia de Edificación - Pese,Requiero una inspección técnica de seguridad (ITSE) de rutina para el local comercial en Via Marcelo Quiroga 42 Puerta 4 .,Licencia de Edificación,Media
YAU-HIST-101252,Urgente: Solicitud de Licencia de Funcionamiento por riesgo,Se solicita apoyo de inmediato por grietas profundas en los muros de carga que amenaza la seguridad pública en Ronda Esteban Almeida 42 Apt. 88 .,Licencia de Funcionamiento,Alta
YAU-HIST-101253,Urgente: Solicitud de Licencia de Funcionamiento por riesgo,Fuga de agua masiva y riesgo de corto circuito en Cuesta de Luis Miguel Mancebo 8. Requiero intervención urgente por peligro inminente.,Licencia de Funcionamiento,Alta
YAU-HIST-101254,Consulta / Copia: Licencia de Funcionamiento,Pedido de copias de actas de la junta vecinal de C. de Rolando Campo 76 Apt. 04  correspondientes al periodo anterior.,Licencia de Funcionamiento,Baja
YAU-HIST-101255,Consulta / Copia: Queja por Servicios,Solicito información general sobre los planos catastrales de la zona de Camino Roque Alba 840 Apt. 52 .,Queja por Servicios,Baja
YAU-HIST-101256,Consulta / Copia: Licencia de Funcionamiento,Solicito duplicado del certificado de habitabilidad de la propiedad en Callejón de Agapito Cuadrado 98 Apt. 58 .,Licencia de Funcionamiento,Baja
YAU-HIST-101257,Consulta / Copia: Licencia de Edificación,Solicito información general sobre los planos catastrales de la zona de Rambla Gabriela Cordero 69 Piso 2 .,Licencia de Edificación,Baja
YAU-HIST-101258,Urgente: Solicitud de Constancia de Posesión por riesgo,Denuncia de riesgo estructural crítico en C. de Borja Tomás 37 Puerta 8  por hundimiento del suelo en el patio principal. Se teme daño físico a las personas.,Constancia de Posesión,Alta
YAU-HIST-101259,EMERGENCIA: Queja por Servicios por grietas profundas en los muros de carga,Reporto peligro de colapso en Alameda Dionisia Oliveras 296 Apt. 02  debido a grietas profundas en los muros de carga. Solicito inspección de inmediato.,Queja por Servicios,Urgente
YAU-HIST-101260,Urgente: Solicitud de Inspección Técnica de Seguridad (ITSE) por riesgo,Fuga de agua masiva y riesgo de corto circuito en Via Angelina Tamayo 43. Requiero intervención urgente por peligro inminente.,Inspección Técnica de Seguridad (ITSE),Alta
YAU-HIST-101261,Trámite de Constancia de Posesión - Formas,Queja por servicios debido a fallas intermitentes en el alumbrado público de C. Marisol Rivera 1.,Constancia de Posesión,Media
YAU-HIST-101262,EMERGENCIA: Licencia de Funcionamiento por cables eléctricos expuestos a la intemperie,Fuga de agua masiva y riesgo de corto circuito en Calle Rebeca Beltran 15 Apt. 51 . Requiero intervención urgente por peligro inminente.,Licencia de Funcionamiento,Urgente
YAU-HIST-101263,Consulta / Copia: Licencia de Edificación,Solicito información general sobre los planos catastrales de la zona de Vial de Febe Folch 84 Piso 4 .,Licencia de Edificación,Baja
YAU-HIST-101264,Trámite de Licencia de Funcionamiento - Siquiera,Requiero una inspección técnica de seguridad (ITSE) de rutina para el local comercial en Rambla Toño Álvaro 11.,Licencia de Funcionamiento,Media
YAU-HIST-101265,Consulta / Copia: Queja por Servicios,Solicitud de copia certificada de la resolución de alcaldía emitida el año pasado sobre el predio Calle Nélida Checa 6.,Queja por Servicios,Baja
YAU-HIST-101266,Trámite de Inspección Técnica de Seguridad (ITSE) - Congreso,Requiero una inspección técnica de seguridad (ITSE) de rutina para el local comercial en Alameda Gil Álvarez 43 Puerta 7 .,Inspección Técnica de Seguridad (ITSE),Media
YAU-HIST-101267,Consulta / Copia: Licencia de Funcionamiento,Solicito duplicado del certificado de habitabilidad de la propiedad en Paseo de Reyna Cervera 8 Piso 6 .,Licencia de Funcionamiento,Baja
